city,lat,lng,country,iso2,admin_name
Casablanca,33.5992,-7.62,Morocco,MA,Casablanca-Settat
Tangier,35.7767,-5.8039,Morocco,MA,Tanger-Tétouan-Al Hoceïma
Fès,34.0433,-5.0033,Morocco,MA,Fès-Meknès
Marrakech,31.6295,-7.9811,Morocco,MA,Marrakech-Safi
Sale,34.05,-6.8167,Morocco,MA,Rabat-Salé-Kénitra
Meknès,33.8833,-5.55,Morocco,MA,Fès-Meknès
Rabat,34.0211,-6.8414,Morocco,MA,Rabat-Salé-Kénitra
Agadir,30.4214,-9.5831,Morocco,MA,Souss-Massa
Kenitra,34.25,-6.5833,Morocco,MA,Rabat-Salé-Kénitra
Oujda-Angad,34.6867,-1.9114,Morocco,MA,Oriental
Tétouan,35.5667,-5.3667,Morocco,MA,Tanger-Tétouan-Al Hoceïma
Safi,32.2833,-9.2333,Morocco,MA,Marrakech-Safi
Taourirt,34.41,-2.89,Morocco,MA,Oriental
Temara,33.9234,-6.9076,Morocco,MA,Rabat-Salé-Kénitra
Laâyoune,27.15,-13.2,Morocco,MA,Laâyoune-Sakia El Hamra
El Jadid,33.2566,-8.5025,Morocco,MA,Casablanca-Settat
Ait Melloul,30.3342,-9.4972,Morocco,MA,Souss-Massa
Béni Mellal,32.3394,-6.3608,Morocco,MA,Béni Mellal-Khénifra
Bouskoura,33.4489,-7.6486,Morocco,MA,Casablanca-Settat
Tiznit,29.7,-9.7269,Morocco,MA,Souss-Massa
