city,lat,lng,country,iso2,admin_name
Casablanca,33.5992,-7.62,Morocco,MA,Casablanca-Settat
Tangier,35.7767,-5.8039,Morocco,MA,Tanger-Tétouan-Al Hoceïma
Fès,34.0433,-5.0033,Morocco,MA,Fès-Meknès
Marrakech,31.6295,-7.9811,Morocco,MA,Marrakech-Safi
Sale,34.05,-6.8167,Morocco,MA,Rabat-Salé-Kénitra
Meknès,33.8833,-5.55,Morocco,MA,Fès-Meknès
Rabat,34.0211,-6.8414,Morocco,MA,Rabat-Salé-Kénitra
Agadir,30.4214,-9.5831,Morocco,MA,Souss-Massa
Kenitra,34.25,-6.5833,Morocco,MA,Rabat-Salé-Kénitra
Oujda-Angad,34.6867,-1.9114,Morocco,MA,Oriental
Tétouan,35.5667,-5.3667,Morocco,MA,Tanger-Tétouan-Al Hoceïma
Safi,32.2833,-9.2333,Morocco,MA,Marrakech-Safi
Taourirt,34.41,-2.89,Morocco,MA,Oriental
Temara,33.9234,-6.9076,Morocco,MA,Rabat-Salé-Kénitra
Laâyoune,27.15,-13.2,Morocco,MA,Laâyoune-Sakia El Hamra
El Jadid,33.2566,-8.5025,Morocco,MA,Casablanca-Settat
Ait Melloul,30.3342,-9.4972,Morocco,MA,Souss-Massa
Béni Mellal,32.3394,-6.3608,Morocco,MA,Béni Mellal-Khénifra
Bouskoura,33.4489,-7.6486,Morocco,MA,Casablanca-Settat
Tiznit,29.7,-9.7269,Morocco,MA,Souss-Massa
Mohammedia,33.6833,-7.3833,Morocco,MA,Casablanca-Settat
Kouribga,32.88,-6.9,Morocco,MA,Béni Mellal-Khénifra
Settat,33.0023,-7.6198,Morocco,MA,Casablanca-Settat
Barrechid,33.27,-7.5872,Morocco,MA,Casablanca-Settat
Ad Dakhla,23.7167,-15.95,Morocco,MA,Dakhla-Oued Ed-Dahab
Nador,35.1667,-2.9333,Morocco,MA,Oriental
Taza,34.2144,-4.0088,Morocco,MA,Fès-Meknès
Inezgane,30.3658,-9.5381,Morocco,MA,Souss-Massa
Larache,35.1833,-6.15,Morocco,MA,Tanger-Tétouan-Al Hoceïma
Al Khmissat,33.81,-6.06,Morocco,MA,Rabat-Salé-Kénitra
Guelmim,28.9833,-10.0667,Morocco,MA,Guelmim-Oued Noun
Ksar El Kebir,35.0,-5.9,Morocco,MA,Tanger-Tétouan-Al Hoceïma
Khénifra,32.93,-5.66,Morocco,MA,Béni Mellal-Khénifra
Skhirate,33.85,-7.03,Morocco,MA,Rabat-Salé-Kénitra
Beni Yakhlef,33.6555,-7.3221,Morocco,MA,Casablanca-Settat
Sidi Yahya Zaer,33.7105,-6.8831,Morocco,MA,Rabat-Salé-Kénitra
Ben Guerir,32.23,-7.95,Morocco,MA,Marrakech-Safi
Ait Ali,30.1739,-9.4881,Morocco,MA,Souss-Massa
My Drarga,30.3805,-9.4763,Morocco,MA,Souss-Massa
Lqoliaa,30.2942,-9.4544,Morocco,MA,Souss-Massa
El Kelaa des Srarhna,32.05,-7.4,Morocco,MA,Marrakech-Safi
Moulay Abdallah,33.1978,-8.5883,Morocco,MA,Casablanca-Settat
Tiflet,33.9,-6.33,Morocco,MA,Rabat-Salé-Kénitra
Oulad Teïma,30.4,-9.21,Morocco,MA,Souss-Massa
Berkane,34.9167,-2.3167,Morocco,MA,Oriental
Ain El Aouda,33.8111,-6.7922,Morocco,MA,Rabat-Salé-Kénitra
Errachidia,31.9319,-4.4244,Morocco,MA,Drâa-Tafilalet
Al Fqih Ben Çalah,32.507,-6.6886,Morocco,MA,Béni Mellal-Khénifra
Ad Darwa,33.4167,-7.5333,Morocco,MA,Casablanca-Settat
Martil,35.61,-5.27,Morocco,MA,Tanger-Tétouan-Al Hoceïma
Sidi Slimane,34.26,-5.93,Morocco,MA,Rabat-Salé-Kénitra
Oued Zem,32.8619,-6.5711,Morocco,MA,Béni Mellal-Khénifra
Sefrou,33.83,-4.83,Morocco,MA,Fès-Meknès
Taroudannt,30.4711,-8.8778,Morocco,MA,Souss-Massa
